GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FinFlow Backend,com.finflow.shared.config,JwtClaims,12,30,0,0,2,1,1,1,1,1
FinFlow Backend,com.finflow.shared.config,JacksonConfig,59,0,0,0,11,0,2,0,2,0
FinFlow Backend,com.finflow.shared.config,OpenApiConfig,83,0,0,0,25,0,2,0,2,0
FinFlow Backend,com.finflow.shared.config,RedisConfig,45,0,0,0,13,0,2,0,2,0
FinFlow Backend,com.finflow.shared.config,JwtProperties,16,32,2,2,2,4,3,1,1,1
FinFlow Backend,com.finflow.shared.config,JwtAccessDeniedHandler,13,43,3,1,3,16,2,3,0,3
FinFlow Backend,com.finflow.shared.config,JwtAuthenticationEntryPoint,7,43,1,1,2,16,1,3,0,3
FinFlow Backend,com.finflow.shared.config,JwtPropertiesConfiguration,62,0,0,0,12,0,2,0,2,0
FinFlow Backend,com.finflow.shared.config,SecurityConfig,215,0,0,0,41,0,15,0,15,0
FinFlow Backend,com.finflow.modules.transfers.validator,TransferValidator,86,0,30,0,19,0,18,0,3,0
FinFlow Backend,com.finflow.modules.cards.controller,CardController,75,0,0,0,13,0,9,0,9,0
FinFlow Backend,com.finflow.modules.beneficiaries.dto,BeneficiaryResponse,0,42,0,0,0,1,0,1,0,1
FinFlow Backend,com.finflow.modules.beneficiaries.dto,CreateBeneficiaryRequest,0,30,0,0,0,1,0,1,0,1
FinFlow Backend,com.finflow.modules.beneficiaries.dto,UpdateBeneficiaryRequest,0,30,0,0,0,1,0,1,0,1
FinFlow Backend,com.finflow.modules.profiles.service,UserProfileService,0,117,0,2,0,33,0,8,0,7
FinFlow Backend,com.finflow.modules.notifications.dto,NotificationResponse,0,36,0,0,0,1,0,1,0,1
FinFlow Backend,com.finflow.modules.notifications.dto,MarkReadRequest,0,6,0,0,0,1,0,1,0,1
FinFlow Backend,com.finflow.modules.cards.domain,Card,66,124,4,10,19,37,20,15,16,12
FinFlow Backend,com.finflow.modules.cards.domain,CardType,0,21,0,0,0,4,0,1,0,1
FinFlow Backend,com.finflow.modules.cards.domain,CardTransaction,58,3,0,0,19,1,13,1,13,1
FinFlow Backend,com.finflow.modules.cards.domain,CardTransactionStatus,0,39,0,0,0,7,0,1,0,1
FinFlow Backend,com.finflow.modules.cards.domain,CardTransactionType,0,45,0,0,0,8,0,1,0,1
FinFlow Backend,com.finflow.modules.cards.domain,CardStatus,0,39,0,0,0,7,0,1,0,1
FinFlow Backend,com.finflow.modules.admin.service,AdminService,0,85,1,3,0,20,1,7,0,6
FinFlow Backend,com.finflow.modules.beneficiaries.domain,BeneficiaryStatus,0,21,0,0,0,4,0,1,0,1
FinFlow Backend,com.finflow.modules.beneficiaries.domain,Beneficiary,54,66,2,0,17,19,16,12,15,12
FinFlow Backend,com.finflow.modules.auth.controller,AuthController,124,42,8,0,28,14,8,3,4,3
FinFlow Backend,com.finflow.modules.transactions.validator,TransactionValidator,137,4,16,0,38,1,21,1,13,1
FinFlow Backend,com.finflow.modules.admin.domain,AdminAuditLog,18,24,0,0,6,9,6,2,6,2
FinFlow Backend,com.finflow.modules.cards.dto,CardResponse,45,0,0,0,1,0,1,0,1,0
FinFlow Backend,com.finflow.modules.cards.dto,CreateCardRequest,0,24,0,0,0,1,0,1,0,1
FinFlow Backend,com.finflow.modules.cards.dto,CardTransactionResponse,33,0,0,0,1,0,1,0,1,0
FinFlow Backend,com.finflow.modules.cards.dto,UpdateCardRequest,12,0,0,0,1,0,1,0,1,0
FinFlow Backend,com.finflow.modules.admin.mapper,AdminMapper,35,0,4,0,10,0,4,0,2,0
FinFlow Backend,com.finflow.modules.savings.service,SavingsGoalService,101,210,15,13,13,38,16,13,6,9
FinFlow Backend,com.finflow.modules.settings.domain,UserSetting,6,22,0,0,2,8,2,4,2,4
FinFlow Backend,com.finflow.modules.transactions.controller,TransactionController,176,0,6,0,34,0,11,0,8,0
FinFlow Backend,com.finflow.modules.auth.config,SessionProperties,10,16,2,2,1,4,3,1,1,1
FinFlow Backend,com.finflow.modules.transfers.controller,TransferController,103,0,0,0,18,0,12,0,12,0
FinFlow Backend,com.finflow.modules.transactions.service,TransactionService,34,588,5,7,5,118,6,9,1,8
